Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
Nazaré,,FE 43-1-1,Lisboa,Portugal,"13,3 x 6,5 cm",Cerâmica e vidrado Estampinha,Travessa Pedro Albuquerque n° 71,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,6.5,-1.4590155,-48.5039701
Nazaré,,FE 44-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Nazaré,,FE 45-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4569976,-48.4990726
Nazaré,,FE 46-1-1,Porto,Portugal,,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4569976,-48.4990726
Nazaré,,FE 47-1-1,,,"14,4 x 6,8 cm",Cerâmica e vidrado Estampinha,Travessa Rui Barbosa n° 717 e 723,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.4,6.8,-1.9615324,-48.1932456
Nazaré,,FE 48-1-1 (a e b-canto),,,,Cerâmica e vidrado Estampinha,Rua Oliveira Belo n° 260 e 264,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4402085,-48.4776417
Nazaré,,FE 49-1-1,Portugal,,"15,1 x 7,6 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 400, 441, 565, 584, 590, 596 e 602; Travessa Presidente Pernambuco n° 204; Rua Riachuelo n° 43 e s/n°","Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.1,7.6,-1.4510368,-48.5010789
Nazaré,,FE 49-1-2,,,"15,1 x 7,6 cm",Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.1,7.6,,
Nazaré,,FE 50-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Nazaré,,FE 51-1-1,Portugal,,"15,4 x 7,4 cm",Cerâmica e vidrado Estampinha,Rua Senador Manoel Barata n° 492/496,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.4,7.4,-1.450417,-48.4971926
Nazaré,,FE 52-1-1,Alemanha,,"14,5 x 7 cm",Cerâmica e vidrado Estampinha,Avenida Brás de Aguiar n° 55,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.5,7,-1.4543551,-48.4845742
Nazaré,,FE 53-1-1,Portugal,,"14 x 6,8 cm",Cerâmica e vidrado Estampinha,Rua Dr. Assis n° 213-215,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,6.8,-1.4619697,-48.5044161
Nazaré,,FE 54-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4569976,-48.4990726
Nazaré,,FE 55-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Rua Senador Manoel Barata n° 271,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.450417,-48.4971926
Nazaré,,FE 56-1-1,Provavelmente Portugal,,,Cerâmica e vidrado Estampinha,Travessa Campos Sales n° 365/375,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4519837209649507,-48.496945129523944
Nazaré,,FE 57-1-1,Provavelmente Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Reduto,,FE 57-1-1,Provavelmente Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Nazaré,,FE 58-1-1,,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Avenido Conselheiro Furtado n° 1881,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,,
Umarizal,,FE 58-1-1,,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Avenido Conselheiro Furtado n° 1881,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,,
Reduto,,FE 59-1-1,,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Demolido,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,,
Reduto,,FE 60-1-1,,,"14,2 x 6,6 cm",Cerâmica e vidrado Estampinha,Travessa São Francisco n° 60,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.2,6.6,-1.4569976,-48.4990726
Reduto,,FE 61-1-1,,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Demolido,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,,
Reduto,,FI 1-1-1,,,,Cerâmica e vidrado Transferência ou Impressão,Rua Senador Manoel Barata n° 105; Avenida Gentil Bittencourt n° 49,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.450417,-48.4971926
Reduto,,FI 2-1-1,,,"15,1 x 7,5 cm",Cerâmica e vidrado Transferência ou Impressão,Avenida Generalíssimo Deodoro n° 384,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.1,7.5,-1.441101143159871,-48.48063069576632
Reduto,,CD  4-1-1,Dresden,Alemanha,14 x 14 cm,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Rua Santo Antônio n° 254, 260, 274/276; Rua Alcindo Cacela n° 1858; Travessa Padre Eutiquio n° 225 e Avenida Castilhos França n° 278","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.3598314,-48.4412983
Reduto,,CD 5-1-1,França,,"10,5 x 10,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Santo Antônio n° 220 e 224,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",10.5,10.5,-1.3598314,-48.4412983
Reduto,,CD 5-1-2,França,,"10,5 x 10,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Rua Ó de Almeida n° 306; Rua Senador Manoel Barata n° 347/351 e 363; Avenida Serzedelo Correa n° 1074 e 1078; Rua Arcipreste Manoel Teodoro n° 594; Avenida 16 de Novembro n° 41, 421, 427 e 443; Rua 28 de setembro n° 136, 138/142","Revestimento de fachada, assentados por compressão contra argamassa fresca.",10.5,10.5,-1.4515412,-48.4973671
